frame,che,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,ekfc_x,ekfc_y,ekf_v,ekf_omega
552,True,394.1,208.92499999999998,313.28538383161543,177.8679606855731,627.0842561201898,267.57052262255445,426.13984854621435,428.47370671974016,6.300177449945354,0.21271919973580544
553,True,390.37,207.22,302.66818047315564,174.82391080957478,621.1045172255948,265.62488308533597,424.8810562863748,437.94945196510116,6.300177449945354,0.21271919973580544
554,True,386.635,205.515,292.05097711469585,171.77986093357646,615.6703195922904,262.4606633492068,424.0974270646607,447.4762683877729,6.300177449945354,0.21271919973580544
555,True,382.90000000000003,203.80499999999998,281.43377375623606,168.73581105757813,611.0266318988477,258.22050355716027,423.79091954601995,457.0303439081689,6.300177449945354,0.21271919973580544
556,True,379.16999999999996,202.1,270.8165703977763,165.6917611815798,607.3827873559298,253.09554624969235,423.9622998396232,466.58779831315445,6.300177449945354,0.21271919973580544
557,True,374.685,200.925,260.1993670393165,162.64771130558148,604.9030471558658,247.3168198332138,424.6111395839896,476.1247429441431,6.300177449945354,0.21271919973580544
558,True,370.205,199.75,249.58216368085667,159.60366142958316,603.6991957277471,241.1448240299637,425.7358170176674,485.6173404063022,6.300177449945354,0.21271919973580544
559,True,365.73,198.58,238.96496032239685,156.55961155358483,603.8255015972037,234.85778678785505,427.3335210327931,495.0418641496255,6.300177449945354,0.21271919973580544
560,True,361.245,197.40499999999997,228.34775696393703,153.5155616775865,605.2762710107095,228.7391220180579,429.4002582013971,504.37475777295174,6.300177449945354,0.21271919973580544
561,True,356.765,196.23,217.7305536054772,150.47151180158818,607.9861046048037,223.06465355408363,431.9308627568937,513.5926939026997,6.300177449945354,0.21271919973580544
562,True,353.565,194.63,207.1133502470174,147.42746192558985,611.832845549815,218.09018126465494,434.91900950580765,522.6726324991533,6.300177449945354,0.21271919973580544
563,True,350.365,193.03,196.49614688855758,144.38341204959153,616.6430862684538,214.0399498286663,438.3572296374633,531.5918784445621,6.300177449945354,0.21271919973580544
564,False,347.16499999999996,191.43,346.8324176038118,191.3267098289863,347.16547436653224,192.30800207936846,347.02291290170785,191.9692863743357,10.18072724480623,-0.01372998641252654
565,False,343.965,189.82999999999998,343.4703824946203,189.82389319046717,342.85305176987714,190.58187942528784,344.5618320982232,190.27337063187758,8.25440762189525,-0.004484621467905587
