video,n_frames_annotated,n_images,camera_state,sence_weather,n_tracks,pct_tracks_occluded,mean_occ_ratio,n_full_occ_segs,pct_curved,n_sharp
MVI_40241,2320,2320,stable,cloudy,338,0.3224852071005917,0.08573431952662722,14.0,0.1834319526627219,0
MVI_40243,1265,1265,stable,cloudy,173,0.30057803468208094,0.06446878612716764,1.0,0.20809248554913296,1
MVI_40244,1345,1345,stable,cloudy,162,0.25308641975308643,0.05979382716049383,0.0,0.13580246913580246,1
MVI_40732,2120,2120,stable,night,72,0.3194444444444444,0.051722222222222225,5.0,0.6111111111111112,16
MVI_40751,1145,1145,stable,night,41,0.4878048780487805,0.08744634146341464,8.0,0.4878048780487805,3
MVI_40752,2025,2025,stable,night,193,0.533678756476684,0.25472435233160623,65.0,0.20207253886010362,2
MVI_40871,1720,1720,unstable,rainy,37,0.8108108108108109,0.17398648648648649,0.0,0.13513513513513514,1
MVI_40962,1875,1875,stable,night,90,0.011111111111111112,0.0003644444444444444,0.0,0.5222222222222223,9
MVI_40963,1820,1820,stable,night,144,0.3611111111111111,0.07372569444444445,26.0,0.6666666666666666,36
MVI_40981,1995,1995,stable,night,121,0.008264462809917356,0.0006950413223140496,0.0,0.628099173553719,20
MVI_40991,1667,1820,unstable,night,28,1.0,0.20319285714285715,31.0,0.4642857142857143,6
MVI_40992,2122,2160,stable,night,45,0.9777777777777777,0.28389777777777775,44.0,0.4444444444444444,8
MVI_41063,1505,1505,stable,sunny,167,0.3413173652694611,0.11123832335329341,3.0,0.23353293413173654,1
MVI_41073,1825,1825,stable,sunny,175,0.2742857142857143,0.09351714285714287,4.0,0.2742857142857143,7
MVI_63521,2055,2055,stable,rainy,90,0.18888888888888888,0.02092888888888889,8.0,0.7,32
MVI_63525,985,985,stable,rainy,32,0.03125,0.00095,0.0,0.5625,5
MVI_63544,956,1160,stable,rainy,17,1.0,0.4045705882352941,16.0,0.7058823529411765,3
MVI_63552,1150,1150,unstable,rainy,152,0.5328947368421053,0.20882105263157894,19.0,0.3223684210526316,9
MVI_63553,1405,1405,unstable,rainy,190,0.5736842105263158,0.20984684210526316,37.0,0.3105263157894737,9
MVI_63554,1445,1445,unstable,rainy,188,0.5585106382978723,0.22973936170212766,45.0,0.2553191489361702,1
MVI_63561,1285,1285,unstable,rainy,188,0.4946808510638298,0.19493297872340423,43.0,0.30319148936170215,12
MVI_63562,1185,1185,unstable,rainy,138,0.3695652173913043,0.14460434782608697,23.0,0.30434782608695654,6
MVI_63563,1390,1390,unstable,rainy,177,0.4971751412429379,0.1722593220338983,24.0,0.3389830508474576,8
