video,track_id,n_frames,first_frame,last_frame,path_len_px,net_disp_px,straightness,net_turn_deg,total_turn_deg,median_speed_px_per_frame,median_speed_px_per_s,mean_kappa,median_kappa,p90_kappa,max_kappa,min_radius_px,median_abs_omega_rad_s,p90_abs_omega_rad_s,max_abs_omega_rad_s,curvature_class,turn_class
MVI_20011,23,181,199,379,525.87,518.87,0.9867,0.84,262.3,1.391,34.78,0.043463,0.008174,0.135747,0.543832,1.84,0.36692,2.14781,6.96677,straight,straight
MVI_20011,24,121,229,349,406.62,403.7,0.9928,15.11,178.03,2.045,51.11,0.022143,0.006586,0.067981,0.174824,5.72,0.44652,1.8161,4.11625,straight,gentle
MVI_20011,25,163,259,421,343.54,334.26,0.973,38.39,452.84,1.327,33.18,0.047972,0.017729,0.129787,0.464015,2.16,0.94025,2.70461,8.3506,curved,gentle
MVI_20011,26,151,295,445,518.86,505.43,0.9741,27.41,327.45,1.354,33.86,0.039308,0.012434,0.131855,0.348185,2.87,0.61301,2.48365,5.20589,curved,gentle
MVI_20011,27,121,295,415,526.93,523.08,0.9927,6.7,193.06,1.963,49.07,0.021613,0.007146,0.05156,0.160526,6.23,0.5334,1.65707,3.7189,straight,straight
MVI_20011,28,121,301,421,361.35,358.0,0.9907,24.55,190.49,2.168,54.21,0.030697,0.004811,0.095978,0.259412,3.85,0.35801,2.45119,6.09707,curved,gentle
MVI_20011,29,352,313,664,170.63,57.41,0.3365,487.37,2074.44,0.414,10.35,0.167976,0.105444,0.374303,1.03637,0.96,1.5891,5.07376,14.30469,static,static
MVI_20011,30,193,313,505,460.95,452.34,0.9813,25.98,287.87,1.077,26.92,0.033413,0.008443,0.092988,0.293558,3.41,0.33177,1.97406,4.1018,curved,gentle
MVI_20011,31,157,325,481,320.38,313.24,0.9777,25.06,399.11,1.534,38.36,0.042536,0.023782,0.115077,0.211098,4.74,0.98039,3.05802,5.17417,curved,gentle
MVI_20011,32,127,355,481,275.25,270.86,0.984,33.12,281.63,1.776,44.4,0.035591,0.01663,0.113926,0.199339,5.02,0.78553,2.6315,4.43285,curved,gentle
MVI_20011,33,211,355,565,489.89,473.28,0.9661,44.23,365.05,1.098,27.46,0.027897,0.009692,0.081641,0.240141,4.16,0.48608,1.81177,4.56158,curved,gentle
MVI_20011,34,175,367,541,339.89,328.48,0.9664,100.45,459.3,1.423,35.58,0.056753,0.018722,0.162779,0.504949,1.98,0.92871,2.93495,7.6199,curved,sharp
MVI_20011,35,217,367,583,514.04,490.17,0.9536,89.13,652.61,0.942,23.56,0.057549,0.01708,0.109706,1.292576,0.77,0.47514,2.88056,17.22501,curved,sharp
MVI_20011,36,151,385,535,504.61,498.17,0.9872,36.73,237.17,1.633,40.82,0.037489,0.004295,0.135307,0.468587,2.13,0.27208,2.49994,6.6509,curved,gentle
MVI_20011,37,193,397,589,404.59,378.08,0.9345,74.52,435.89,1.453,36.33,0.049795,0.011269,0.144327,0.560983,1.78,0.77975,3.67637,7.6715,curved,sharp
MVI_20011,38,145,397,541,311.13,303.74,0.9763,58.31,191.79,1.762,44.04,0.016459,0.010121,0.042159,0.082365,12.14,0.4937,1.35066,2.98533,curved,sharp
MVI_20011,39,175,409,583,567.57,559.09,0.9851,31.74,256.39,1.314,32.84,0.033867,0.011408,0.095406,0.354585,2.82,0.71289,1.98662,4.56277,curved,gentle
MVI_20011,40,169,421,589,404.87,395.0,0.9756,46.22,403.1,1.45,36.26,0.036444,0.011622,0.081823,0.521666,1.92,0.67561,2.42836,6.82946,curved,sharp
MVI_20011,41,163,439,601,296.78,290.47,0.9787,5.06,354.03,1.493,37.33,0.035334,0.011633,0.101097,0.25971,3.85,0.59283,2.48139,7.10099,straight,straight
MVI_20011,42,175,457,631,488.83,476.96,0.9757,2.9,309.02,1.175,29.37,0.037966,0.009459,0.133817,0.30764,3.25,0.49417,2.79235,4.16018,straight,straight
MVI_20011,43,145,475,619,359.79,355.94,0.9893,7.81,244.42,1.79,44.75,0.033651,0.011641,0.096393,0.208486,4.8,0.6138,2.0831,4.34383,straight,straight
MVI_20011,44,163,493,655,313.35,308.36,0.9841,10.55,284.96,1.362,34.05,0.023478,0.012185,0.051517,0.242106,4.13,0.6055,1.57662,4.5893,straight,gentle
MVI_20011,45,154,511,664,269.52,235.72,0.8746,81.85,513.27,1.268,31.71,0.057351,0.037489,0.130706,0.527991,1.89,1.21117,2.79764,7.52649,curved,sharp
MVI_20011,46,95,570,664,57.19,45.56,0.7966,117.13,154.4,0.722,18.05,0.05317,0.01546,0.138774,0.261355,3.83,0.35243,2.51776,3.52038,curved,sharp
MVI_20011,47,148,517,664,69.02,44.35,0.6425,21.14,129.79,0.411,10.28,0.0734,0.044208,0.172668,0.209784,4.77,0.78588,2.63769,4.05523,static,static
MVI_20011,48,124,541,664,380.83,376.0,0.9873,29.44,168.19,2.382,59.56,0.014867,0.006222,0.042711,0.102236,9.78,0.4145,1.87423,2.52231,curved,gentle
MVI_20011,49,118,547,664,294.5,290.23,0.9855,51.76,197.33,2.358,58.94,0.019077,0.00916,0.047159,0.108803,9.19,0.52416,1.89621,3.53783,curved,sharp
MVI_20011,50,94,571,664,65.92,60.39,0.9161,10.78,230.91,0.65,16.25,0.08046,0.048002,0.193976,0.400709,2.5,1.03598,3.17622,7.49648,curved,gentle
MVI_20011,51,46,619,664,32.56,29.25,0.8986,91.66,161.45,0.681,17.03,0.113888,0.099182,0.253796,0.302635,3.3,2.11615,3.58677,4.03801,curved,sharp
MVI_20011,52,34,631,664,14.27,11.31,0.7927,11.38,18.06,0.423,10.58,0.080766,0.084361,0.120617,0.12965,7.71,1.21449,1.5404,1.75112,static,static
MVI_20011,53,28,637,664,90.32,89.29,0.9887,29.58,29.58,3.575,89.39,0.006177,0.006708,0.010439,0.019542,51.17,0.42417,0.97236,1.07528,curved,gentle
MVI_20012,1,25,1,25,180.67,180.5,0.9991,10.89,10.89,7.512,187.8,0.001258,0.000934,0.002381,0.003229,309.68,0.17548,0.32892,0.40467,straight,gentle
MVI_20012,3,493,1,493,659.72,573.55,0.8694,262.8,1302.61,0.459,11.48,0.051615,0.022011,0.141488,0.44199,2.26,0.76205,2.34518,5.82929,static,static
MVI_20012,4,133,1,133,456.11,451.5,0.9899,32.59,254.04,2.006,50.15,0.030652,0.008293,0.084062,0.310317,3.22,0.73363,2.51328,5.51456,curved,gentle
MVI_20012,5,169,1,169,459.57,444.63,0.9675,199.01,510.04,1.301,32.53,0.041835,0.027317,0.100724,0.257764,3.88,1.00514,2.41942,5.27119,curved,sharp
MVI_20012,6,97,1,97,505.8,504.23,0.9969,45.57,104.56,3.025,75.62,0.012956,0.003004,0.0115,0.316308,3.16,0.28949,1.0919,5.99441,curved,sharp
MVI_20012,7,127,1,127,563.97,560.31,0.9935,1.33,196.89,2.622,65.55,0.019709,0.006317,0.053053,0.195676,5.11,0.63755,2.0277,3.29299,straight,straight
MVI_20012,8,145,1,145,211.0,204.83,0.9708,66.88,372.37,1.361,34.03,0.048789,0.030171,0.108732,0.262438,3.81,1.02644,2.7244,3.87261,curved,sharp
MVI_20012,9,43,1,43,26.48,23.81,0.8991,8.34,122.71,0.583,14.57,0.119025,0.122533,0.201967,0.339977,2.94,2.14255,3.05158,4.526,curved,straight
MVI_20012,10,49,1,49,36.98,32.28,0.8731,54.56,185.09,0.675,16.89,0.132272,0.113634,0.285856,0.336053,2.98,2.71762,4.27796,5.62973,curved,sharp
MVI_20012,11,211,1,211,486.45,469.23,0.9646,175.79,774.96,1.004,25.11,0.070556,0.016426,0.177907,1.137698,0.88,0.61853,3.214,14.92671,curved,sharp
MVI_20012,12,343,13,355,536.65,500.21,0.9321,13.81,938.92,0.663,16.57,0.086879,0.035014,0.219134,0.975017,1.03,1.0675,3.56398,14.38167,curved,gentle
MVI_20012,13,229,25,253,574.79,562.89,0.9793,37.78,496.45,1.237,30.91,0.046834,0.013442,0.153709,0.335556,2.98,0.68827,3.25826,6.58598,curved,gentle
MVI_20012,14,403,31,433,575.02,504.18,0.8768,86.63,875.8,0.637,15.93,0.059979,0.021749,0.160437,0.676635,1.48,0.88784,2.76776,8.91568,curved,sharp
MVI_20012,15,385,79,463,543.57,493.84,0.9085,7.31,1457.07,0.68,17.01,0.070642,0.028396,0.204242,0.682126,1.47,0.93308,3.58256,11.23851,curved,straight
MVI_20012,16,247,79,325,423.79,408.67,0.9643,86.0,817.34,1.234,30.85,0.06701,0.019602,0.206089,0.567933,1.76,0.83208,3.76525,7.43246,curved,sharp
MVI_20012,17,133,139,271,332.86,327.66,0.9844,40.27,180.26,1.904,47.61,0.019524,0.00835,0.054093,0.143465,6.97,0.42296,1.37209,2.82669,curved,gentle
MVI_20012,18,217,139,355,627.22,600.83,0.9579,15.8,795.14,1.416,35.4,0.07083,0.022431,0.174937,0.767295,1.3,0.99921,3.39097,9.62595,curved,gentle
MVI_20012,19,151,139,289,532.58,525.27,0.9863,15.19,221.5,1.658,41.46,0.028381,0.006531,0.088111,0.207642,4.82,0.47802,1.96499,3.42353,straight,gentle
MVI_20012,20,151,181,331,347.63,342.6,0.9855,20.74,196.87,1.56,38.99,0.021422,0.009486,0.053509,0.116018,8.62,0.40428,1.65461,2.61303,curved,gentle
MVI_20012,21,217,211,427,609.19,593.99,0.9751,32.81,372.1,1.431,35.78,0.036371,0.009333,0.113005,0.427514,2.34,0.56466,1.74643,5.58674,curved,gentle
MVI_20012,22,766,171,936,242.65,185.32,0.7637,287.71,415.58,0.208,5.21,0.0271,0.000218,0.069746,0.525667,1.9,0.00556,1.16912,6.72679,static,static
MVI_20012,23,103,241,343,283.57,278.75,0.983,10.46,171.26,2.283,57.09,0.015585,0.010183,0.033487,0.079219,12.62,0.70461,1.82072,2.51921,straight,gentle
MVI_20012,24,271,271,541,502.24,484.22,0.9641,42.01,481.76,0.907,22.66,0.048981,0.015867,0.156384,0.320623,3.12,0.5659,2.56208,5.34138,curved,gentle
MVI_20012,25,193,271,463,560.14,552.91,0.9871,17.59,264.39,1.473,36.83,0.029528,0.009462,0.080887,0.248012,4.03,0.41993,2.18901,4.27474,straight,gentle
MVI_20012,26,109,295,403,381.98,377.74,0.9889,37.06,125.57,2.156,53.89,0.011137,0.005164,0.032384,0.048266,20.72,0.44912,1.34614,1.83624,curved,gentle
MVI_20012,27,211,313,523,564.43,555.28,0.9838,33.74,389.91,1.454,36.35,0.036534,0.018978,0.097735,0.237235,4.22,0.81592,2.2008,7.20385,curved,gentle
MVI_20012,28,205,355,559,557.25,549.42,0.986,11.01,337.57,1.335,33.38,0.02722,0.011428,0.08039,0.336144,2.97,0.54128,1.78485,6.45251,straight,gentle
MVI_20012,29,223,361,583,533.19,525.56,0.9857,6.73,247.25,1.262,31.54,0.025281,0.007169,0.066121,0.261101,3.83,0.37439,1.68095,4.20731,straight,straight
MVI_20012,30,133,361,493,329.24,325.4,0.9883,38.78,151.38,1.85,46.24,0.011507,0.009084,0.024245,0.049311,20.28,0.41929,1.1937,1.79938,curved,gentle
MVI_20012,31,217,403,619,486.92,480.22,0.9862,35.43,284.89,1.128,28.21,0.033093,0.009728,0.089199,0.261253,3.83,0.47493,1.68853,3.36268,curved,gentle
MVI_20012,32,253,427,679,485.43,471.08,0.9704,12.04,485.31,0.956,23.89,0.050101,0.027167,0.146066,0.370389,2.7,0.92298,2.54852,5.74633,straight,gentle
MVI_20012,33,121,427,547,317.06,314.33,0.9914,12.78,160.23,2.191,54.77,0.016904,0.007369,0.049141,0.137463,7.27,0.39083,1.79508,3.35331,straight,gentle
MVI_20012,34,91,469,559,251.98,247.71,0.983,10.65,149.64,2.409,60.24,0.014034,0.009606,0.033318,0.058603,17.06,0.58043,1.88665,2.58543,straight,gentle
MVI_20012,35,199,487,685,530.82,525.19,0.9894,9.85,289.35,1.245,31.13,0.030213,0.011297,0.058781,0.346457,2.89,0.58236,1.59628,5.02016,straight,straight
MVI_20012,36,193,487,679,108.73,83.42,0.7673,5.79,485.2,0.518,12.96,0.097005,0.080059,0.18,0.774784,1.29,1.46007,2.87097,10.50544,curved,straight
MVI_20012,37,103,487,589,400.78,396.27,0.9887,20.59,138.24,2.868,71.69,0.017803,0.00436,0.063481,0.135167,7.4,0.37384,1.58007,3.07042,curved,gentle
MVI_20012,38,271,499,769,668.95,601.68,0.8994,575.66,1049.91,1.265,31.62,0.055677,0.027146,0.136302,0.414467,2.41,1.035,3.53124,8.81836,curved,sharp
MVI_20012,39,139,505,643,323.0,318.67,0.9866,47.14,186.75,1.784,44.61,0.017467,0.009229,0.044021,0.072701,13.75,0.58924,1.39251,2.3321,curved,sharp
MVI_20012,40,97,661,757,319.8,315.94,0.9879,33.28,129.25,2.585,64.62,0.014036,0.006646,0.041754,0.074866,13.36,0.51407,1.59564,2.79838,curved,gentle
MVI_20012,41,171,685,855,117.06,74.7,0.6381,43.17,512.32,0.467,11.67,0.127428,0.073497,0.256981,1.770026,0.56,1.23359,4.56755,23.9817,static,static
MVI_20012,42,571,1,571,535.52,447.37,0.8354,22.11,1000.8,0.722,18.06,0.034825,0.013207,0.083214,0.582542,1.72,0.46102,2.33979,9.78426,curved,gentle
MVI_20032,1,235,1,235,370.21,357.38,0.9654,12.27,432.0,1.013,25.33,0.043976,0.021671,0.121605,0.278099,3.6,0.69283,2.60187,4.09562,curved,gentle
MVI_20032,2,217,1,217,188.57,169.42,0.8984,153.61,909.7,0.76,18.99,0.095151,0.05443,0.242711,0.430598,2.32,1.23962,4.17282,6.56644,curved,sharp
MVI_20032,3,97,1,97,293.02,285.51,0.9744,8.97,176.96,2.851,71.29,0.016099,0.009238,0.042775,0.140889,7.1,0.5044,1.87534,7.17049,straight,straight
MVI_20032,4,437,1,437,200.58,55.26,0.2755,157.67,725.31,0.287,7.19,0.110196,0.057912,0.30596,0.566269,1.77,1.36379,4.69568,7.75637,static,static
MVI_20032,5,253,91,343,489.06,457.6,0.9357,38.11,454.31,0.741,18.53,0.055871,0.030367,0.135046,0.491001,2.04,1.16785,2.669,6.23732,curved,gentle
MVI_20032,6,193,91,283,148.97,131.82,0.8849,20.22,577.1,0.539,13.48,0.09198,0.05946,0.198266,0.520681,1.92,1.39944,3.3113,7.01646,curved,gentle
MVI_20032,7,119,319,437,459.54,455.68,0.9916,8.9,198.61,2.578,64.46,0.025663,0.007824,0.085498,0.115725,8.64,0.65087,2.32759,3.22649,straight,straight
MVI_20032,8,89,349,437,459.8,455.55,0.9908,8.18,93.57,4.06,101.5,0.008748,0.002503,0.031631,0.060434,16.55,0.31752,1.34955,1.98208,straight,straight
MVI_20032,9,17,421,437,192.62,189.44,0.9835,31.92,31.92,12.097,302.42,0.00278,0.003463,0.004929,0.005085,196.66,1.0473,1.52985,1.55902,curved,gentle
MVI_20033,1,91,1,91,327.45,322.24,0.9841,32.01,133.27,3.112,77.8,0.018751,0.004661,0.02087,0.34502,2.9,0.34896,1.39359,6.88945,curved,gentle
MVI_20033,2,229,1,229,349.03,326.78,0.9363,5.4,472.14,0.787,19.68,0.051275,0.021326,0.1185,0.586725,1.7,0.76689,2.28943,7.66593,curved,straight
MVI_20033,3,127,1,127,86.49,74.44,0.8606,118.66,361.24,0.58,14.51,0.091781,0.06322,0.169066,0.576041,1.74,1.40469,3.21633,7.20886,curved,sharp
MVI_20033,4,127,1,127,64.96,54.6,0.8405,33.1,189.43,0.445,11.13,0.098477,0.082085,0.201168,0.303184,3.3,1.28334,2.96804,4.13559,static,static
MVI_20033,5,241,7,247,538.99,519.15,0.9632,6.38,406.51,0.997,24.92,0.044591,0.010108,0.137364,0.526841,1.9,0.53507,2.75517,6.67421,curved,straight
MVI_20033,6,211,49,259,481.0,467.77,0.9725,42.71,203.79,0.837,20.92,0.029969,0.008401,0.088589,0.206062,4.85,0.38996,1.92682,3.2211,curved,gentle
MVI_20033,7,235,55,289,537.1,521.85,0.9716,9.11,382.47,1.079,26.98,0.046107,0.011378,0.154765,0.357771,2.8,0.62026,2.85314,4.66764,straight,straight
MVI_20033,8,259,145,403,437.45,422.31,0.9654,33.69,750.22,0.975,24.37,0.065621,0.02837,0.178877,0.839176,1.19,1.04706,2.78175,11.17668,curved,gentle
MVI_20033,9,319,49,367,222.17,185.72,0.8359,78.01,686.96,0.493,12.33,0.075923,0.045751,0.17238,0.53766,1.86,1.14372,3.0993,8.14443,static,static
MVI_20033,10,235,145,379,212.62,185.28,0.8714,219.01,871.32,0.994,24.84,0.080415,0.066918,0.188529,0.328972,3.04,1.46037,4.07761,6.16643,curved,sharp
MVI_20033,11,259,253,511,547.65,521.6,0.9524,80.3,592.63,0.831,20.78,0.064384,0.018113,0.191126,0.637186,1.57,0.79122,3.20925,13.23916,curved,sharp
MVI_20033,12,235,313,547,527.3,510.07,0.9673,7.67,461.57,0.97,24.24,0.043521,0.016143,0.115438,0.379162,2.64,0.68262,2.02221,5.76725,curved,straight
MVI_20033,13,283,313,595,639.56,619.47,0.9686,11.56,509.61,0.823,20.57,0.050069,0.015391,0.133787,0.712893,1.4,0.73355,2.85114,9.62665,curved,gentle
MVI_20033,14,235,379,613,524.46,512.31,0.9768,20.89,496.56,0.988,24.7,0.058407,0.02798,0.151768,0.459402,2.18,1.04148,2.61731,6.55588,curved,gentle
MVI_20033,15,259,385,643,601.66,571.47,0.9498,10.93,1074.6,0.798,19.94,0.086632,0.029074,0.232799,0.57764,1.73,1.32765,4.35435,9.40191,curved,gentle
MVI_20033,16,253,415,667,497.63,485.55,0.9757,24.65,452.76,0.893,22.32,0.045416,0.009708,0.132754,0.577042,1.73,0.33401,2.5381,8.29406,curved,gentle
MVI_20033,17,223,445,667,490.25,480.42,0.9799,74.02,447.01,0.923,23.08,0.05147,0.011385,0.152052,0.367237,2.72,0.7133,3.02912,4.97761,curved,sharp
MVI_20033,18,223,463,685,518.98,504.41,0.9719,19.43,544.82,1.068,26.7,0.071207,0.013256,0.200795,0.969062,1.03,0.69829,3.80636,12.53375,straight,gentle
MVI_20033,20,229,529,757,527.58,520.35,0.9863,29.13,373.46,0.928,23.19,0.038475,0.010798,0.110223,0.296331,3.37,0.50498,2.16813,4.66163,curved,gentle
MVI_20033,21,220,565,784,530.2,514.36,0.9701,8.26,532.39,1.027,25.67,0.060438,0.024165,0.143703,0.453755,2.2,0.90227,2.89673,7.21853,straight,straight
MVI_20033,22,154,631,784,458.21,452.87,0.9883,91.92,255.61,1.74,43.5,0.03396,0.006711,0.086146,0.455479,2.2,0.35422,2.26506,7.51747,curved,sharp
MVI_20033,23,136,649,784,521.37,513.46,0.9848,73.39,285.78,3.043,76.07,0.024352,0.011225,0.086887,0.127884,7.82,0.92161,2.00059,3.55049,curved,sharp
MVI_20033,24,106,679,784,463.71,462.4,0.9972,2.97,83.2,3.64,90.99,0.005208,0.004039,0.010883,0.015792,63.32,0.4005,0.81225,1.03933,straight,straight
MVI_20033,25,58,727,784,351.3,347.58,0.9894,22.23,87.34,5.148,128.69,0.006986,0.004529,0.016499,0.023411,42.72,0.67543,1.62459,2.03816,curved,gentle
MVI_20033,26,327,458,784,73.73,55.89,0.7581,38.46,90.13,0.072,1.79,0.047991,0.004109,0.192009,0.452637,2.21,0.11957,3.78798,5.93554,static,static
MVI_20034,1,127,1,127,128.25,124.16,0.9681,20.09,216.76,0.814,20.34,0.038965,0.034964,0.074852,0.274626,3.64,0.72745,1.73338,3.62267,curved,gentle
MVI_20034,2,91,1,91,77.01,75.26,0.9772,38.36,168.09,0.915,22.88,0.038038,0.028181,0.082782,0.160202,6.24,0.71272,1.58037,2.1948,curved,gentle
MVI_20034,3,109,1,109,57.0,53.53,0.9392,18.97,172.46,0.558,13.95,0.079703,0.054157,0.190523,0.324214,3.08,0.88338,2.53773,4.33854,curved,gentle
MVI_20034,4,31,1,31,12.52,12.41,0.9913,14.58,20.9,0.404,10.1,0.019245,0.016234,0.029872,0.043148,23.18,0.25667,0.43161,0.55703,static,static
MVI_20034,5,181,19,199,489.25,485.35,0.992,30.84,255.21,1.579,39.47,0.027638,0.006803,0.078269,0.183428,5.45,0.37211,1.81483,2.89248,curved,gentle
MVI_20034,6,187,67,253,472.0,465.39,0.986,39.7,213.19,1.336,33.4,0.022276,0.011648,0.05992,0.182728,5.47,0.378,1.53809,2.9712,curved,gentle
MVI_20034,7,211,115,325,496.16,491.76,0.9911,37.16,269.35,1.133,28.32,0.027344,0.009303,0.0506,0.335619,2.98,0.38706,1.20827,4.30545,curved,gentle
MVI_20034,8,229,145,373,508.24,496.06,0.976,216.7,429.87,1.121,28.03,0.034316,0.00985,0.102777,0.262957,3.8,0.48582,1.79112,3.63771,curved,sharp
MVI_20034,9,151,103,253,500.66,495.28,0.9892,28.37,204.42,1.879,46.98,0.027923,0.007047,0.065448,0.373468,2.68,0.50181,1.46115,5.64671,curved,gentle
MVI_20034,10,163,157,319,504.89,502.57,0.9954,7.23,190.99,1.625,40.63,0.024479,0.01258,0.06225,0.199301,5.02,0.42929,1.42835,2.87721,straight,straight
MVI_20034,11,145,157,301,448.79,446.82,0.9956,1.58,113.81,1.612,40.29,0.016788,0.004701,0.056652,0.131065,7.63,0.21657,1.07189,2.05379,straight,straight
MVI_20034,13,199,181,379,572.54,563.78,0.9847,45.81,180.39,1.088,27.21,0.026158,0.007099,0.075462,0.329451,3.04,0.45228,1.40136,4.51018,curved,sharp
MVI_20034,14,217,253,469,471.96,460.46,0.9756,147.83,492.49,1.139,28.49,0.040755,0.009526,0.11504,0.405942,2.46,0.40072,2.26614,5.54875,curved,sharp
MVI_20034,15,181,289,469,457.25,444.62,0.9724,120.85,446.39,1.754,43.86,0.041677,0.013402,0.094105,0.468392,2.13,0.7141,2.24635,6.07338,curved,sharp
MVI_20034,16,512,289,800,260.56,150.71,0.5784,443.56,961.27,0.376,9.41,0.088462,0.054941,0.200236,0.622571,1.61,1.14966,3.52431,7.89661,static,static
MVI_20034,18,277,301,577,608.66,598.42,0.9832,10.93,324.16,0.96,24.01,0.032949,0.009805,0.093604,0.36093,2.77,0.57279,1.76159,4.52903,straight,gentle
MVI_20034,19,235,319,553,469.52,453.9,0.9667,16.4,447.88,0.824,20.59,0.058083,0.013764,0.146234,0.648404,1.54,0.61184,2.28551,8.8094,curved,gentle
MVI_20034,20,181,325,505,451.81,439.62,0.973,28.69,240.02,1.524,38.09,0.024784,0.008314,0.072907,0.275639,3.63,0.43374,1.73061,3.82209,curved,gentle
MVI_20034,21,307,337,643,519.75,484.14,0.9315,41.95,654.26,1.056,26.4,0.051006,0.023462,0.126777,0.408053,2.45,0.86281,2.48429,5.32568,curved,gentle
MVI_20034,22,331,361,691,485.47,455.71,0.9387,115.24,577.92,0.572,14.31,0.041963,0.021045,0.112249,0.228846,4.37,0.61813,1.9436,3.85705,curved,sharp
MVI_20034,23,271,373,643,509.13,496.01,0.9742,25.77,335.04,0.955,23.87,0.030415,0.010103,0.092951,0.247135,4.05,0.51275,1.78622,3.39447,curved,gentle
MVI_20034,24,193,403,595,476.29,455.11,0.9555,0.0,578.44,1.203,30.08,0.038691,0.011948,0.11009,0.336925,2.97,0.57173,2.13168,4.52115,curved,straight
MVI_20034,25,289,403,691,568.44,543.03,0.9553,62.92,697.83,0.803,20.07,0.069723,0.043913,0.179578,0.392757,2.55,1.30414,3.12561,5.25147,curved,sharp
MVI_20034,26,343,415,757,475.64,440.45,0.926,7.62,597.8,0.657,16.43,0.059674,0.017821,0.167825,0.541502,1.85,0.76196,2.73395,7.34948,curved,straight
