video,track_id,seg_id,start_frame,end_frame,length_frames,duration_s,bucket,mean_occlusion_ratio,path_len_px,net_disp_px
MVI_40172,99,1,374,413,40,1.6,long,0.9977,0.2,0.19
MVI_40172,99,2,2222,2236,15,0.6,medium,0.9861,1.56,1.56
MVI_40172,100,0,1,2225,2225,89.0,long,0.9842,190.21,48.02
MVI_40172,101,0,1,1489,1489,59.56,long,0.9793,139.95,38.8
MVI_40172,101,1,1495,1642,148,5.92,long,0.9496,9.5,2.15
MVI_40172,101,2,1674,2199,526,21.04,long,0.9695,40.84,4.34
MVI_40172,101,3,2241,2242,2,0.08,short,0.9027,0.16,0.16
MVI_40172,101,4,2247,2255,9,0.36,short,0.9354,0.93,0.58
MVI_40172,101,5,2260,2278,19,0.76,medium,0.9168,1.29,1.29
MVI_40172,102,0,1,395,395,15.8,long,0.987,53.32,10.97
MVI_40172,102,1,400,1461,1062,42.48,long,0.9778,77.29,31.3
MVI_40172,102,2,1522,1528,7,0.28,short,0.9026,0.71,0.71
MVI_40172,102,3,1532,1532,1,0.04,short,0.9002,0.0,0.0
MVI_40172,102,4,1536,1537,2,0.08,short,0.9152,0.12,0.12
MVI_40172,102,5,1567,1619,53,2.12,long,0.9472,2.03,1.88
MVI_40172,102,6,1721,1725,5,0.2,short,0.9069,0.26,0.26
MVI_40172,102,7,1816,1834,19,0.76,medium,0.915,1.36,1.36
MVI_40172,102,8,1843,1909,67,2.68,long,0.9274,7.18,4.0
MVI_40172,102,9,1937,2023,87,3.48,long,0.9309,10.03,3.88
MVI_40172,102,10,2027,2028,2,0.08,short,0.9018,0.12,0.12
MVI_40172,102,11,2089,2183,95,3.8,long,0.9655,9.66,1.01
MVI_40172,105,0,50,96,47,1.88,long,0.9999,0.98,0.98
MVI_40172,105,1,381,422,42,1.68,long,1.0,0.51,0.49
MVI_40172,105,2,431,437,7,0.28,short,0.9581,0.08,0.07
MVI_40172,105,3,2240,2259,20,0.8,medium,0.9974,0.14,0.14
MVI_40181,68,0,1204,1214,11,0.44,short,0.968,297.44,297.41
MVI_40192,251,0,1771,1772,2,0.08,short,0.9689,2.23,2.23
MVI_40201,48,0,336,342,7,0.28,short,0.8922,25.18,25.17
MVI_40201,48,1,348,353,6,0.24,short,0.9343,16.79,16.54
MVI_40201,62,0,436,436,1,0.04,short,0.9098,0.0,0.0
MVI_40201,62,1,467,470,4,0.16,short,0.886,5.52,5.52
MVI_40204,15,0,138,138,1,0.04,short,0.9106,0.0,0.0
MVI_40204,35,0,279,299,21,0.84,medium,0.9583,43.7,43.04
MVI_40204,35,1,303,311,9,0.36,short,0.8878,13.2,13.19
MVI_40204,51,0,380,382,3,0.12,short,0.9487,4.29,4.25
MVI_40204,51,1,389,394,6,0.24,short,0.9245,11.87,11.82
MVI_40204,51,2,398,398,1,0.04,short,0.9241,0.0,0.0
MVI_40204,60,0,386,386,1,0.04,short,0.9292,0.0,0.0
MVI_40204,60,1,418,418,1,0.04,short,0.9459,0.0,0.0
MVI_40204,65,0,489,491,3,0.12,short,0.9419,3.23,3.23
MVI_40204,71,0,534,549,16,0.64,medium,0.9491,36.01,35.52
MVI_40204,71,1,554,554,1,0.04,short,0.9161,0.0,0.0
MVI_40204,81,0,632,640,9,0.36,short,0.9121,14.67,14.58
MVI_40204,81,1,644,646,3,0.12,short,0.9337,3.45,3.45
MVI_40204,85,0,660,671,12,0.48,short,0.8934,20.98,20.9
MVI_40204,85,1,684,690,7,0.28,short,0.9568,10.84,10.84
MVI_40204,88,0,710,711,2,0.08,short,0.9439,2.14,2.14
MVI_40204,88,1,716,716,1,0.04,short,0.9299,0.0,0.0
MVI_40204,88,2,721,721,1,0.04,short,0.9372,0.0,0.0
MVI_40204,90,0,694,701,8,0.32,short,0.9315,20.97,20.88
MVI_40204,90,1,712,715,4,0.16,short,0.8851,5.77,5.77
MVI_40204,90,2,719,719,1,0.04,short,0.9209,0.0,0.0
MVI_40204,90,3,725,725,1,0.04,short,0.9498,0.0,0.0
MVI_40204,90,4,729,746,18,0.72,medium,0.9643,29.16,29.15
MVI_40204,98,0,740,792,53,2.12,long,0.9525,105.17,104.72
MVI_40204,108,0,784,784,1,0.04,short,0.9008,0.0,0.0
MVI_40204,116,0,867,867,1,0.04,short,0.922,0.0,0.0
MVI_40204,116,1,871,871,1,0.04,short,0.9442,0.0,0.0
MVI_40204,128,0,960,969,10,0.4,short,0.9444,19.33,19.13
MVI_40204,129,0,963,963,1,0.04,short,0.9099,0.0,0.0
MVI_40204,129,1,1006,1007,2,0.08,short,0.9429,1.15,1.15
MVI_40204,162,0,1126,1126,1,0.04,short,0.9437,0.0,0.0
MVI_40204,162,1,1130,1130,1,0.04,short,0.9388,0.0,0.0
MVI_40204,162,2,1176,1177,2,0.08,short,0.9741,1.55,1.55
MVI_40204,162,3,1192,1205,14,0.56,medium,0.9491,15.92,15.42
MVI_40204,165,0,1200,1205,6,0.24,short,0.9291,9.01,9.01
MVI_40204,168,0,1200,1200,1,0.04,short,0.9316,0.0,0.0
MVI_40211,62,0,609,619,11,0.44,short,0.9409,222.87,222.64
MVI_40212,53,0,410,411,2,0.08,short,0.9495,27.1,27.1
MVI_40212,136,0,1030,1050,21,0.84,medium,0.9928,373.88,368.78
MVI_40213,110,0,811,811,1,0.04,short,0.9013,0.0,0.0
MVI_40213,111,0,795,796,2,0.08,short,0.9082,14.31,14.31
MVI_40213,205,0,1578,1601,24,0.96,medium,0.9971,464.97,463.19
MVI_40241,95,0,681,681,1,0.04,short,1.0,0.0,0.0
MVI_40241,130,0,901,905,5,0.2,short,0.9363,15.08,15.08
MVI_40241,147,0,1006,1034,29,1.16,medium,0.9536,129.26,129.24
MVI_40241,149,0,1086,1086,1,0.04,short,1.0,0.0,0.0
MVI_40241,153,0,1051,1060,10,0.4,short,0.9134,29.41,29.39
MVI_40241,160,0,1076,1083,8,0.32,short,0.9013,20.25,20.23
MVI_40241,160,1,1089,1094,6,0.24,short,0.9271,18.87,18.8
MVI_40241,173,0,1176,1189,14,0.56,medium,0.9257,45.32,45.13
MVI_40241,179,0,1206,1232,27,1.08,medium,0.9615,104.04,103.79
MVI_40241,191,0,1281,1308,28,1.12,medium,0.9674,114.75,114.35
MVI_40241,201,0,1351,1352,2,0.08,short,0.9498,3.11,3.11
MVI_40241,208,0,1402,1408,7,0.28,short,0.9212,21.66,21.65
MVI_40241,243,0,1685,1690,6,0.24,short,0.9742,34.62,34.62
MVI_40241,311,0,2203,2206,4,0.16,short,0.9537,43.05,43.04
MVI_40243,50,0,328,340,13,0.52,medium,0.9855,201.19,201.18
MVI_40732,2,0,929,942,14,0.56,medium,0.9441,0.47,0.47
MVI_40732,2,1,1692,1703,12,0.48,short,0.992,0.09,0.08
MVI_40732,2,2,2100,2120,21,0.84,medium,0.991,1.17,1.17
MVI_40732,14,0,45,74,30,1.2,medium,0.9809,283.0,282.77
MVI_40732,14,1,78,106,29,1.16,medium,0.9461,142.41,140.59
MVI_40751,2,0,21,67,47,1.88,long,0.993,0.0,0.0
MVI_40751,21,0,558,569,12,0.48,short,0.9729,11.11,9.52
MVI_40751,21,1,574,577,4,0.16,short,0.9147,1.73,1.72
MVI_40751,21,2,589,592,4,0.16,short,0.9127,0.0,0.0
MVI_40751,21,3,820,822,3,0.12,short,0.9568,3.79,2.76
MVI_40751,21,4,835,836,2,0.08,short,0.9164,0.75,0.75
MVI_40751,21,5,949,952,4,0.16,short,0.9102,5.17,3.96
MVI_40751,21,6,1142,1145,4,0.16,short,0.9607,6.71,6.71
MVI_40752,5,0,41,66,26,1.04,medium,0.9716,146.23,145.63
MVI_40752,5,1,77,85,9,0.36,short,0.9278,69.67,69.67
MVI_40752,5,2,89,94,6,0.24,short,0.894,51.3,51.29
MVI_40752,5,3,101,101,1,0.04,short,0.92,0.0,0.0
MVI_40752,11,0,96,96,1,0.04,short,0.9243,0.0,0.0
MVI_40752,14,0,111,148,38,1.52,long,0.9693,205.48,205.17
MVI_40752,14,1,190,190,1,0.04,short,0.9066,0.0,0.0
MVI_40752,20,0,171,173,3,0.12,short,0.9058,5.94,5.94
MVI_40752,20,1,186,189,4,0.16,short,0.9175,15.93,15.93
MVI_40752,20,2,202,202,1,0.04,short,0.906,0.0,0.0
MVI_40752,23,0,156,176,21,0.84,medium,0.9666,119.08,118.7
MVI_40752,30,0,197,207,11,0.44,short,0.9053,48.34,48.33
MVI_40752,30,1,216,218,3,0.12,short,0.9175,13.03,13.03
MVI_40752,34,0,271,271,1,0.04,short,0.9232,0.0,0.0
MVI_40752,34,1,279,291,13,0.52,medium,0.9658,77.66,77.57
MVI_40752,34,2,297,305,9,0.36,short,0.9509,68.87,68.78
MVI_40752,34,3,311,313,3,0.12,short,0.9175,21.28,21.28
MVI_40752,34,4,317,328,12,0.48,short,0.9132,136.84,136.75
MVI_40752,36,0,386,386,1,0.04,short,1.0,0.0,0.0
MVI_40752,39,0,306,340,35,1.4,medium,0.955,200.28,200.07
MVI_40752,45,0,371,374,4,0.16,short,0.9422,16.8,16.8
MVI_40752,45,1,381,381,1,0.04,short,0.9307,0.0,0.0
MVI_40752,55,0,471,507,37,1.48,medium,0.9555,214.73,214.11
MVI_40752,55,1,527,527,1,0.04,short,0.9019,0.0,0.0
MVI_40752,55,2,533,533,1,0.04,short,0.9015,0.0,0.0
MVI_40752,69,0,724,727,4,0.16,short,1.0,35.32,35.32
MVI_40752,76,0,732,767,36,1.44,medium,0.9541,211.69,211.49
MVI_40752,76,1,774,804,31,1.24,medium,0.9698,342.03,341.76
MVI_40752,78,0,710,724,15,0.6,medium,0.9939,38.44,38.44
MVI_40752,80,0,776,781,6,0.24,short,0.9731,26.48,26.48
MVI_40752,81,0,791,881,91,3.64,long,0.9887,814.15,810.04
MVI_40752,83,0,821,848,28,1.12,medium,0.981,308.65,308.4
MVI_40752,83,1,858,876,19,0.76,medium,0.9784,107.09,106.67
MVI_40752,90,0,786,791,6,0.24,short,0.9417,31.3,31.3
MVI_40752,90,1,802,806,5,0.2,short,0.9191,25.51,25.51
MVI_40752,92,0,881,944,64,2.56,long,0.9774,572.63,572.32
MVI_40752,98,0,961,1000,40,1.6,long,0.9668,490.52,489.37
MVI_40752,99,0,986,1016,31,1.24,medium,0.9432,150.59,150.36
MVI_40752,99,1,1046,1067,22,0.88,medium,0.9586,241.11,240.95
MVI_40752,101,0,996,1050,55,2.2,long,0.9787,600.09,599.46
MVI_40752,101,1,1058,1065,8,0.32,short,0.9764,35.96,35.96
MVI_40752,107,0,1092,1098,7,0.28,short,0.9163,27.46,27.26
MVI_40752,107,1,1159,1162,4,0.16,short,0.9291,36.19,36.15
MVI_40752,111,0,1151,1153,3,0.12,short,0.9523,27.29,27.29
MVI_40752,111,1,1171,1171,1,0.04,short,0.9691,0.0,0.0
MVI_40752,111,2,1175,1176,2,0.08,short,0.9846,9.62,9.62
MVI_40752,121,0,1315,1315,1,0.04,short,0.9113,0.0,0.0
MVI_40752,141,0,1441,1471,31,1.24,medium,0.9731,246.93,246.26
MVI_40752,143,0,1461,1565,105,4.2,long,0.9999,814.77,813.54
MVI_40752,147,0,1501,1536,36,1.44,medium,0.9711,224.23,223.55
MVI_40752,150,0,1526,1586,61,2.44,long,0.9754,528.8,527.92
MVI_40752,153,0,1551,1651,101,4.04,long,0.9984,905.63,900.74
MVI_40752,161,0,1626,1691,66,2.64,long,0.9754,554.6,554.17
MVI_40752,167,0,1766,1766,1,0.04,short,0.9026,0.0,0.0
MVI_40752,171,0,1761,1761,1,0.04,short,0.9234,0.0,0.0
MVI_40752,171,1,1789,1791,3,0.12,short,0.9129,14.13,14.13
MVI_40752,171,2,1818,1818,1,0.04,short,0.9141,0.0,0.0
MVI_40752,173,0,1736,1796,61,2.44,long,0.9762,592.12,590.96
MVI_40752,179,0,1796,1836,41,1.64,long,0.9755,448.1,447.79
MVI_40752,183,0,1846,1892,47,1.88,long,0.9682,464.66,463.7
MVI_40752,188,0,1901,1959,59,2.36,long,0.9779,624.64,623.32
MVI_40752,195,0,2001,2025,25,1.0,medium,0.9791,339.58,339.02
MVI_40752,197,0,256,290,35,1.4,medium,0.9819,205.41,204.0
MVI_40752,198,0,640,672,33,1.32,medium,0.9711,181.31,181.1
MVI_40752,199,0,1590,1631,42,1.68,long,0.9711,217.81,217.54
MVI_40963,8,0,48,48,1,0.04,short,0.9531,0.0,0.0
MVI_40963,16,0,329,329,1,0.04,short,0.9196,0.0,0.0
MVI_40963,19,0,362,364,3,0.12,short,0.9451,6.11,6.11
MVI_40963,30,0,563,564,2,0.08,short,0.962,4.82,4.82
MVI_40963,32,0,607,608,2,0.08,short,0.9706,6.34,6.34
MVI_40963,35,0,651,652,2,0.08,short,0.9395,4.41,4.41
MVI_40963,39,0,687,688,2,0.08,short,0.9417,4.02,4.02
MVI_40963,43,0,752,753,2,0.08,short,0.9117,3.77,3.77
MVI_40963,52,0,826,828,3,0.12,short,0.9501,5.57,5.57
MVI_40963,60,0,875,879,5,0.2,short,0.9374,13.56,13.52
MVI_40963,63,0,917,918,2,0.08,short,0.9694,4.68,4.68
MVI_40963,68,0,947,948,2,0.08,short,0.9419,4.37,4.37
MVI_40963,69,0,980,981,2,0.08,short,0.9233,1.95,1.95
MVI_40963,71,0,1005,1006,2,0.08,short,0.9288,1.5,1.5
MVI_40963,72,0,972,974,3,0.12,short,0.9454,10.4,10.4
MVI_40963,88,0,1161,1162,2,0.08,short,0.9493,4.17,4.17
MVI_40963,91,0,1231,1234,4,0.16,short,0.9548,13.88,13.88
MVI_40963,95,0,1298,1300,3,0.12,short,0.9313,8.8,8.8
MVI_40963,98,0,1328,1330,3,0.12,short,0.9557,9.51,9.51
MVI_40963,102,0,1382,1384,3,0.12,short,0.9667,12.06,12.06
MVI_40963,107,0,1459,1462,4,0.16,short,0.954,11.75,11.6
MVI_40963,113,0,1531,1534,4,0.16,short,0.9512,10.73,10.73
MVI_40963,117,0,1565,1568,4,0.16,short,0.9569,13.7,13.69
MVI_40963,123,0,1602,1602,1,0.04,short,0.9275,0.0,0.0
MVI_40963,129,0,1648,1651,4,0.16,short,0.9655,16.42,16.42
MVI_40963,132,0,1712,1717,6,0.24,short,0.9637,23.43,21.76
MVI_40991,1,0,12,31,20,0.8,medium,0.9869,152.27,151.77
MVI_40991,2,0,88,96,9,0.36,short,0.9656,61.19,60.98
MVI_40991,3,0,147,152,6,0.24,short,0.9666,31.95,31.94
MVI_40991,4,0,372,388,17,0.68,medium,0.9465,134.78,134.4
MVI_40991,5,0,408,414,7,0.28,short,0.9557,46.37,44.81
MVI_40991,6,0,427,445,19,0.76,medium,0.9911,136.13,134.55
MVI_40991,7,0,472,477,6,0.24,short,0.9633,60.64,60.45
MVI_40991,8,0,512,517,6,0.24,short,0.954,49.23,49.23
MVI_40991,9,0,614,620,7,0.28,short,0.9771,54.06,52.43
MVI_40991,10,0,610,633,24,0.96,medium,0.9859,121.09,117.87
MVI_40991,11,0,652,680,29,1.16,medium,0.9874,155.62,154.77
MVI_40991,12,0,695,720,26,1.04,medium,0.9838,141.23,138.49
MVI_40991,13,0,737,742,6,0.24,short,0.9619,49.25,49.21
MVI_40991,14,0,767,789,23,0.92,medium,0.9838,134.0,133.43
MVI_40991,15,0,851,870,20,0.8,medium,0.9834,137.5,136.68
MVI_40991,16,0,943,960,18,0.72,medium,0.9708,124.24,123.37
MVI_40991,17,0,1002,1004,3,0.12,short,0.9866,25.57,25.57
MVI_40991,17,1,1009,1015,7,0.28,short,0.9917,33.8,33.74
MVI_40991,18,0,1072,1074,3,0.12,short,0.9727,24.37,24.37
MVI_40991,18,1,1078,1090,13,0.52,medium,0.9909,73.37,72.37
MVI_40991,19,0,1173,1177,5,0.2,short,0.9715,29.94,29.93
MVI_40991,20,0,1213,1219,7,0.28,short,0.9743,51.36,50.33
MVI_40991,21,0,1273,1274,2,0.08,short,0.9954,13.19,13.19
MVI_40991,21,1,1281,1296,16,0.64,medium,0.9898,64.98,64.67
MVI_40991,22,0,1318,1339,22,0.88,medium,0.9849,143.74,143.26
MVI_40991,23,0,1368,1388,21,0.84,medium,0.9874,145.62,144.31
MVI_40991,24,0,1416,1418,3,0.12,short,0.9666,23.82,23.82
MVI_40991,25,0,1433,1435,3,0.12,short,0.9779,35.18,35.18
MVI_40991,25,1,1440,1454,15,0.6,medium,0.9899,60.08,60.06
MVI_40991,26,0,1705,1712,8,0.32,short,0.9737,39.18,39.17
MVI_40991,27,0,1711,1731,21,0.84,medium,0.9813,150.16,144.3
MVI_40992,2,0,31,34,4,0.16,short,0.9696,36.71,36.71
MVI_40992,3,0,66,70,5,0.2,short,0.9608,38.59,38.59
MVI_40992,4,0,163,165,3,0.12,short,0.9825,28.66,28.66
MVI_40992,5,0,247,260,14,0.56,medium,0.9465,68.05,66.4
MVI_40992,6,0,256,275,20,0.8,medium,0.9867,151.84,151.38
MVI_40992,7,0,309,311,3,0.12,short,0.9282,18.76,18.76
MVI_40992,7,1,315,320,6,0.24,short,0.9938,40.0,39.97
MVI_40992,8,0,339,344,6,0.24,short,0.961,33.67,33.3
MVI_40992,9,0,347,368,22,0.88,medium,0.9854,145.57,145.1
MVI_40992,10,0,403,407,5,0.2,short,0.9462,27.34,27.33
MVI_40992,11,0,521,536,16,0.64,medium,0.9871,140.78,140.32
MVI_40992,12,0,541,544,4,0.16,short,0.9688,23.73,23.73
MVI_40992,13,0,564,581,18,0.72,medium,0.9874,149.32,149.05
MVI_40992,14,0,613,633,21,0.84,medium,0.9878,143.32,142.88
MVI_40992,15,0,726,746,21,0.84,medium,0.9893,142.83,141.53
MVI_40992,16,0,812,832,21,0.84,medium,0.9855,142.52,142.48
MVI_40992,17,0,870,889,20,0.8,medium,0.9817,137.44,136.51
MVI_40992,18,0,955,975,21,0.84,medium,0.9802,147.05,146.45
MVI_40992,19,0,989,992,4,0.16,short,0.9465,22.92,22.88
MVI_40992,20,0,1017,1033,17,0.68,medium,0.9853,153.76,153.63
MVI_40992,21,0,996,996,1,0.04,short,0.9778,0.0,0.0
MVI_40992,21,1,1042,1047,6,0.24,short,0.9548,46.18,46.15
MVI_40992,22,0,1065,1084,20,0.8,medium,0.9873,144.13,143.49
MVI_40992,23,0,1141,1144,4,0.16,short,0.9537,26.84,26.84
MVI_40992,24,0,1166,1184,19,0.76,medium,0.9888,139.02,138.72
MVI_40992,25,0,1208,1210,3,0.12,short,0.9624,17.99,17.99
MVI_40992,26,0,1282,1286,5,0.2,short,0.949,26.34,26.34
MVI_40992,27,0,1328,1330,3,0.12,short,0.9755,24.59,24.59
MVI_40992,28,0,1381,1401,21,0.84,medium,0.9851,146.32,145.91
MVI_40992,29,0,1428,1450,23,0.92,medium,0.99,145.07,144.27
MVI_40992,30,0,1474,1479,6,0.24,short,0.9772,36.96,36.94
MVI_40992,31,0,1487,1508,22,0.88,medium,0.9836,150.99,150.06
MVI_40992,32,0,1618,1631,14,0.56,medium,0.988,139.94,139.48
MVI_40992,33,0,1694,1702,9,0.36,short,0.9613,32.24,32.06
MVI_40992,34,0,1722,1741,20,0.8,medium,0.9868,144.95,143.8
MVI_40992,35,0,1759,1780,22,0.88,medium,0.9885,138.43,137.74
MVI_40992,36,0,1791,1797,7,0.28,short,0.9647,40.97,40.96
MVI_40992,37,0,1848,1859,12,0.48,short,0.9712,43.88,42.31
MVI_40992,38,0,1834,1856,23,0.92,medium,0.9857,145.22,144.65
MVI_40992,39,0,1897,1926,30,1.2,medium,0.9841,144.42,143.68
MVI_40992,40,0,1945,1949,5,0.2,short,0.9303,18.32,18.31
MVI_40992,41,0,2024,2042,19,0.76,medium,0.9846,137.6,137.22
MVI_40992,42,0,2076,2096,21,0.84,medium,0.9819,145.1,144.72
MVI_40992,43,0,2115,2120,6,0.24,short,0.9532,35.6,35.22
MVI_41063,22,0,178,187,10,0.4,short,0.9419,59.42,59.28
MVI_41063,86,0,795,798,4,0.16,short,0.9658,49.59,49.58
MVI_41063,142,0,1356,1361,6,0.24,short,0.9816,28.85,28.85
MVI_41073,66,0,747,765,19,0.76,medium,0.9925,348.95,341.29
MVI_41073,111,0,1125,1127,3,0.12,short,0.9093,11.73,11.65
MVI_41073,143,0,1601,1601,1,0.04,short,0.9871,0.0,0.0
MVI_41073,155,0,1746,1746,1,0.04,short,1.0,0.0,0.0
MVI_63521,15,0,181,192,12,0.48,short,0.9281,21.75,21.6
MVI_63521,39,0,816,831,16,0.64,medium,0.9972,3.29,2.66
MVI_63521,54,0,1226,1226,1,0.04,short,0.9015,0.0,0.0
MVI_63521,54,1,1235,1239,5,0.2,short,0.9382,4.09,3.14
MVI_63521,54,2,1480,1501,22,0.88,medium,1.0,150.34,148.62
MVI_63521,61,0,1256,1257,2,0.08,short,1.0,0.57,0.57
